// These colors brought to you by: thedarkcolour
// This list is only for Vanilla items and cannot be changed. If you want to change modded colors, those can be found
// in the Ex Deorum config folder under "modded.colors.txt" (you can use '//' to write comments)
acacia_boat, #794325
acacia_button, #a85a32
acacia_chest_boat, #724523
acacia_door, #a35f3d
acacia_fence, #a85a32
acacia_fence_gate, #a85a32
acacia_hanging_sign, #824c2d
acacia_leaves, #2a6a0e
acacia_log, #676157
acacia_planks, #a85a32
acacia_pressure_plate, #a85a32
acacia_sapling, #777618
acacia_sign, #854d2c
acacia_slab, #a85a32
acacia_stairs, #a85a32
acacia_trapdoor, #9d5733
acacia_wood, #676157
activator_rail, #73574a
allay_spawn_egg, #9eb7
allium, #928eb9
amethyst_block, #8662bf
amethyst_cluster, #a47fcf
amethyst_shard, #9371c0
ancient_debris, #604038
andesite, #888889
andesite_slab, #888889
andesite_stairs, #888889
andesite_wall, #888889
angler_pottery_sherd, #6e3e32
anvil, #454545
apple, #b01d1f
archer_pottery_sherd, #6b3c31
armor_stand, #725d3d
arms_up_pottery_sherd, #6b3c31
arrow, #7c7364
axolotl_bucket, #a2839d
axolotl_spawn_egg, #ab8ca3
azalea, #5c6e2b
azalea_leaves, #5a732c
azure_bluet, #9fc69c
baked_potato, #b0812e
bamboo, #d7e0ca
bamboo_block, #7f903a
bamboo_button, #c1ad50
bamboo_chest_raft, #715d2b
bamboo_door, #beab4f
bamboo_fence, #7c007c
bamboo_fence_gate, #cfba55
bamboo_hanging_sign, #a2924c
bamboo_mosaic, #beaa4e
bamboo_mosaic_slab, #beaa4e
bamboo_mosaic_stairs, #beaa4e
bamboo_planks, #c1ad50
bamboo_pressure_plate, #c1ad50
bamboo_raft, #8c7f3e
bamboo_sign, #ae9c49
bamboo_slab, #c1ad50
bamboo_stairs, #c1ad50
bamboo_trapdoor, #c7b355
barrel, #6c5132
barrier, #d50000
basalt, #49494e
bat_spawn_egg, #342d22
beacon, #8c9697
bedrock, #555555
bee_nest, #c4974d
bee_spawn_egg, #a18d30
beef, #b73c34
beehive, #9d7e4c
beetroot, #892c2a
beetroot_seeds, #876e48
beetroot_soup, #58290e
bell, #c19940
big_dripleaf, #708e34
birch_boat, #94845b
birch_button, #c0af79
birch_chest_boat, #816e45
birch_door, #d0c8a2
birch_fence, #c0af79
birch_fence_gate, #c0af79
birch_hanging_sign, #92855d
birch_leaves, #42552b
birch_log, #d9d7d2
birch_planks, #c0af79
birch_pressure_plate, #c0af79
birch_sapling, #80a150
birch_sign, #a09167
birch_slab, #c0af79
birch_stairs, #c0af79
birch_trapdoor, #cfc29d
birch_wood, #d9d7d2
black_banner, #a2834f
black_bed, #15151a
black_candle, #2c2a42
black_carpet, #15151a
black_concrete, #80a0f
black_concrete_powder, #191b20
black_dye, #1c1a29
